"child_id","child_age","school_id","school_type","household_income","social_skills","cognitive_ability","academic_achievement"
36,6.11,2,"Montessori","$35,001-$70,000",5,2,102
37,3.63,2,"Montessori","$35,001-$70,000",4,1,108
38,5.2,2,"Montessori","$75,001-105,000",5,0,81
39,6.46,2,"Montessori","105,001 or more",4,3,114
40,3.46,2,"Montessori","$75,001-105,000",5,1,105
41,4.16,3,"Montessori","$35,001-$70,000",4,2,92
42,6.03,3,"Montessori","$75,001-105,000",1,1,104
43,5.72,3,"Montessori","$75,001-105,000",5,2,133
44,5.9,3,"Montessori","$75,001-105,000",2,1,77
45,5.11,3,"Montessori","$35,001-$70,000",5,2,90
46,4.72,3,"Montessori","$75,001-105,000",4,1,83
47,5.73,3,"Montessori","$75,001-105,000",5,2,82
48,6.09,3,"Montessori","$35,000 or less",3,2,74
49,3.73,3,"Montessori","$35,000 or less",5,2,109
50,4.07,3,"Montessori","$35,001-$70,000",4,3,102
51,4.16,3,"Montessori","$35,001-$70,000",1,2,89
52,3.7,3,"Montessori","105,001 or more",3,2,91
53,3.82,3,"Montessori","$35,001-$70,000",1,1,96
54,3.96,3,"Montessori","$35,001-$70,000",4,0,80
55,5.07,3,"Montessori","105,001 or more",3,2,109
56,3.89,3,"Montessori","105,001 or more",4,1,100
57,3.43,3,"Montessori","$35,001-$70,000",3,2,92
58,3.8,3,"Montessori","$35,000 or less",2,2,97
59,5.09,3,"Montessori","$75,001-105,000",5,1,122
60,3.74,3,"Montessori","$75,001-105,000",3,1,83
61,4.62,4,"Montessori","$35,001-$70,000",2,1,93
62,5.26,4,"Montessori","105,001 or more",1,2,134
63,6.36,4,"Montessori","$35,001-$70,000",3,1,90
64,5.37,4,"Montessori","$75,001-105,000",2,1,106
65,4.56,4,"Montessori","$75,001-105,000",3,1,92
66,4.25,4,"Montessori","105,001 or more",4,3,120
67,4.6,4,"Montessori","$35,001-$70,000",4,1,131
68,4.56,4,"Montessori","$35,000 or less",5,1,99
69,3.86,4,"Montessori","105,001 or more",3,1,90
70,5.43,4,"Montessori","105,001 or more",3,0,108
71,4.44,4,"Montessori","$75,001-105,000",3,0,104
72,4.15,4,"Montessori","$75,001-105,000",2,2,121
73,5,4,"Montessori","$35,001-$70,000",4,2,95
74,6.38,4,"Montessori","$35,000 or less",3,2,106
75,5.32,4,"Montessori","$75,001-105,000",3,2,109
76,5.19,4,"Montessori","$75,001-105,000",1,0,93
77,6,4,"Montessori","$35,001-$70,000",4,2,106
78,5.71,4,"Montessori","$35,001-$70,000",4,1,113
79,5.92,4,"Montessori","$75,001-105,000",3,1,103
80,3.32,4,"Montessori","$35,001-$70,000",4,1,93
81,4.61,5,"Montessori","$35,001-$70,000",3,1,92
82,5.1,5,"Montessori","$35,001-$70,000",5,0,97
83,6.22,5,"Montessori","$35,000 or less",3,3,112
84,6.44,5,"Montessori","$35,001-$70,000",2,3,96
85,3.13,5,"Montessori","$75,001-105,000",3,1,107
86,5.02,5,"Montessori","$75,001-105,000",4,2,80
87,5.57,5,"Montessori","$75,001-105,000",3,0,77
88,3.87,5,"Montessori","105,001 or more",4,2,109
89,4.05,5,"Montessori","$35,000 or less",2,1,98
90,5.57,5,"Montessori","$35,001-$70,000",4,1,100
91,6.17,5,"Montessori","$35,000 or less",2,2,97
92,3.73,5,"Montessori","$75,001-105,000",2,2,131
93,4.25,5,"Montessori","$35,001-$70,000",3,2,112
94,4.57,5,"Montessori","$75,001-105,000",3,2,123
95,6.17,5,"Montessori","$35,001-$70,000",4,2,126
96,4.36,5,"Montessori","$35,000 or less",1,3,115
97,4.81,5,"Montessori","$75,001-105,000",4,3,138
98,3.44,5,"Montessori","$75,001-105,000",3,3,103
99,3.11,5,"Montessori","$75,001-105,000",2,1,89
100,5.7,5,"Montessori","$75,001-105,000",4,2,145
101,4.15,6,"non-Montessori","105,001 or more",1,2,110
102,4.36,6,"non-Montessori","$75,001-105,000",4,2,87
103,3.14,6,"non-Montessori","105,001 or more",5,1,109
104,4.26,6,"non-Montessori","$75,001-105,000",4,1,96
105,5,6,"non-Montessori","$35,001-$70,000",1,2,101
106,5.4,6,"non-Montessori","105,001 or more",2,1,116
107,6.4,6,"non-Montessori","$35,001-$70,000",3,2,100
108,5.46,6,"non-Montessori","$75,001-105,000",2,0,123
109,3.04,6,"non-Montessori","$75,001-105,000",3,1,125
110,4.87,6,"non-Montessori","105,001 or more",2,1,89
111,5.93,6,"non-Montessori","$35,001-$70,000",1,2,118
112,5.82,6,"non-Montessori","105,001 or more",3,1,137
113,3.28,6,"non-Montessori","$35,001-$70,000",3,3,73
114,3.84,6,"non-Montessori","$35,001-$70,000",3,1,123
115,6.38,6,"non-Montessori","$35,001-$70,000",1,0,115
116,3.13,6,"non-Montessori","$75,001-105,000",3,2,114
117,6.21,6,"non-Montessori","$75,001-105,000",4,0,135
118,5.54,6,"non-Montessori","$75,001-105,000",4,1,85
119,3.7,6,"non-Montessori","$75,001-105,000",3,2,97
120,5.94,6,"non-Montessori","$75,001-105,000",1,0,97
121,4.39,6,"non-Montessori","$35,001-$70,000",3,2,67
122,4.37,6,"non-Montessori","$75,001-105,000",5,2,115
123,4.65,6,"non-Montessori","$75,001-105,000",2,3,130
124,5.04,6,"non-Montessori","105,001 or more",2,1,123
125,4.23,6,"non-Montessori","$35,001-$70,000",3,3,117
126,3.1,7,"non-Montessori","105,001 or more",2,0,93
127,6.48,7,"non-Montessori","$75,001-105,000",5,1,119
128,6.35,7,"non-Montessori","$75,001-105,000",1,1,84
129,4.93,7,"non-Montessori","$75,001-105,000",3,0,80
130,3.36,7,"non-Montessori","105,001 or more",2,0,119
131,3.83,7,"non-Montessori","$35,001-$70,000",4,2,100
132,6.01,7,"non-Montessori","$35,001-$70,000",4,2,109
133,5.58,7,"non-Montessori","$35,001-$70,000",4,3,110
134,4.74,7,"non-Montessori","$75,001-105,000",3,2,100
135,5.03,7,"non-Montessori","$35,001-$70,000",3,0,130
136,3.06,7,"non-Montessori","$35,001-$70,000",4,2,92
137,4.65,7,"non-Montessori","$75,001-105,000",4,2,116
138,3.15,7,"non-Montessori","$35,001-$70,000",1,0,91
139,4.62,7,"non-Montessori","$75,001-105,000",2,2,86
140,5.2,7,"non-Montessori","$75,001-105,000",2,2,127
141,5.36,7,"non-Montessori","$75,001-105,000",2,2,96
142,3.3,7,"non-Montessori","$35,001-$70,000",4,2,103
143,3.5,7,"non-Montessori","$75,001-105,000",4,1,110
144,6.18,7,"non-Montessori","$35,001-$70,000",3,0,93
145,3.43,7,"non-Montessori","$35,001-$70,000",2,3,104
146,5.55,7,"non-Montessori","$35,001-$70,000",1,2,89
147,6.33,7,"non-Montessori","$75,001-105,000",4,0,84
148,3.15,7,"non-Montessori","105,001 or more",4,1,88
149,3.07,7,"non-Montessori","$35,001-$70,000",4,1,97
150,3.7,7,"non-Montessori","$75,001-105,000",1,2,85
151,4.77,8,"non-Montessori","$35,000 or less",1,3,93
152,6.24,8,"non-Montessori","$35,001-$70,000",4,0,122
153,3.48,8,"non-Montessori","$75,001-105,000",4,1,106
154,3.59,8,"non-Montessori","$35,000 or less",1,1,99
155,5.12,8,"non-Montessori","$35,001-$70,000",5,1,102
156,5.86,8,"non-Montessori","$35,001-$70,000",3,2,80
157,5.95,8,"non-Montessori","105,001 or more",3,2,92
158,5.76,8,"non-Montessori","$35,001-$70,000",2,1,117
159,3.07,8,"non-Montessori","105,001 or more",4,2,121
160,5.44,8,"non-Montessori","$35,000 or less",5,3,137
161,5.85,8,"non-Montessori","$35,000 or less",4,2,127
162,4.99,8,"non-Montessori","$35,001-$70,000",4,2,118
163,4.68,8,"non-Montessori","$75,001-105,000",1,1,86
164,3.56,8,"non-Montessori","$35,000 or less",4,3,91
165,3.31,8,"non-Montessori","$75,001-105,000",4,1,118
166,3.57,8,"non-Montessori","$75,001-105,000",2,0,107
167,3.09,8,"non-Montessori","$35,001-$70,000",3,2,94
168,5.48,8,"non-Montessori","$35,001-$70,000",3,3,93
169,5.66,8,"non-Montessori","$75,001-105,000",2,1,111
170,6,8,"non-Montessori","105,001 or more",3,2,93
171,4.53,8,"non-Montessori","$75,001-105,000",2,1,115
172,4.46,8,"non-Montessori","$75,001-105,000",1,1,113
173,5.05,8,"non-Montessori","$35,001-$70,000",5,3,119
174,5.89,8,"non-Montessori","$35,001-$70,000",3,3,100
175,5.78,8,"non-Montessori","$35,001-$70,000",3,1,84
176,4.14,9,"non-Montessori","$35,001-$70,000",2,2,88
177,6.35,9,"non-Montessori","$35,000 or less",3,1,99
178,5.29,9,"non-Montessori","$35,001-$70,000",4,1,106
179,4.61,9,"non-Montessori","$35,001-$70,000",1,2,102
180,5.12,9,"non-Montessori","$75,001-105,000",4,2,123
181,4.01,9,"non-Montessori","$35,001-$70,000",4,2,109
182,5.51,9,"non-Montessori","$35,001-$70,000",3,2,69
183,6.23,9,"non-Montessori","$35,001-$70,000",3,1,96
184,5.36,9,"non-Montessori","$35,001-$70,000",3,1,83
185,3.65,9,"non-Montessori","$75,001-105,000",4,1,75
186,4.22,9,"non-Montessori","$75,001-105,000",2,2,120
187,3.43,9,"non-Montessori","$35,001-$70,000",3,2,111
188,3.38,9,"non-Montessori","$75,001-105,000",1,3,94
189,4.04,9,"non-Montessori","105,001 or more",3,1,94
190,5.93,9,"non-Montessori","$75,001-105,000",2,1,102
191,6.47,9,"non-Montessori","$35,001-$70,000",2,1,132
192,4.53,9,"non-Montessori","$35,001-$70,000",2,1,99
193,3.71,9,"non-Montessori","105,001 or more",4,2,103
194,6.37,9,"non-Montessori","$35,001-$70,000",4,0,81
195,5.31,9,"non-Montessori","$75,001-105,000",2,1,111
196,4.04,9,"non-Montessori","$75,001-105,000",4,2,70
197,3.42,9,"non-Montessori","$35,000 or less",2,1,117
198,5.1,9,"non-Montessori","$35,001-$70,000",4,3,87
199,3.42,9,"non-Montessori","$75,001-105,000",4,1,112
200,5.76,9,"non-Montessori","$35,001-$70,000",2,2,85
1,4.08,1,"Montessori","$35,001-$70,000",2,0,98
2,3.9,1,"Montessori","105,001 or more",2,0,100
3,4.93,1,"Montessori","105,001 or more",4,2,103
4,3.2,1,"Montessori","$75,001-105,000",5,0,85
5,4.64,1,"Montessori","$35,001-$70,000",3,1,79
6,4.69,1,"Montessori","105,001 or more",2,2,106
7,5.84,1,"Montessori","$75,001-105,000",3,3,108
8,4.3,1,"Montessori","$75,001-105,000",5,0,99
9,4.91,1,"Montessori","$35,000 or less",2,0,121
10,3.6,1,"Montessori","$35,001-$70,000",4,2,92
11,5.19,1,"Montessori","$35,001-$70,000",3,1,122
12,6.09,1,"Montessori","$75,001-105,000",3,2,105
13,3.98,1,"Montessori","$35,001-$70,000",5,0,70
14,4.39,1,"Montessori","$35,001-$70,000",4,3,106
15,5.67,1,"Montessori","$35,001-$70,000",4,2,98
16,5.34,1,"Montessori","$75,001-105,000",5,2,94
17,3.72,1,"Montessori","105,001 or more",4,3,102
18,4.25,1,"Montessori","$75,001-105,000",4,1,90
19,4.26,1,"Montessori","$35,001-$70,000",5,2,93
20,5.42,1,"Montessori","$35,000 or less",5,1,98
21,4.88,2,"Montessori","$75,001-105,000",2,1,93
22,5.49,2,"Montessori","$35,001-$70,000",5,1,97
23,4.88,2,"Montessori","$75,001-105,000",3,1,96
24,5.62,2,"Montessori","105,001 or more",4,1,113
25,4.47,2,"Montessori","$35,001-$70,000",4,1,125
26,3.6,2,"Montessori","$75,001-105,000",3,1,100
27,5.7,2,"Montessori","$35,000 or less",4,3,115
28,6.09,2,"Montessori","$35,000 or less",4,0,96
29,4.92,2,"Montessori","$35,001-$70,000",2,1,94
30,3.97,2,"Montessori","$35,001-$70,000",3,2,102
31,4.71,2,"Montessori","$75,001-105,000",1,1,106
32,6.25,2,"Montessori","$35,001-$70,000",1,2,90
33,4.22,2,"Montessori","105,001 or more",3,2,79
34,6.34,2,"Montessori","$75,001-105,000",3,2,79
35,5.43,2,"Montessori","$35,001-$70,000",1,0,104
36,6.11,2,"Montessori","$35,001-$70,000",5,2,116
37,3.63,2,"Montessori","$35,001-$70,000",4,1,92
38,5.2,2,"Montessori","$75,001-105,000",5,0,118
39,6.46,2,"Montessori","105,001 or more",4,3,93
40,3.46,2,"Montessori","$75,001-105,000",5,1,118
41,4.16,3,"Montessori","$35,001-$70,000",4,2,91
42,6.03,3,"Montessori","$75,001-105,000",1,1,92
43,5.72,3,"Montessori","$75,001-105,000",5,2,96
44,5.9,3,"Montessori","$75,001-105,000",2,1,67
45,5.11,3,"Montessori","$35,001-$70,000",5,2,91
46,4.72,3,"Montessori","$75,001-105,000",4,1,86
47,5.73,3,"Montessori","$75,001-105,000",5,2,93
48,6.09,3,"Montessori","$35,000 or less",3,2,96
49,3.73,3,"Montessori","$35,000 or less",5,2,96
50,4.07,3,"Montessori","$35,001-$70,000",4,3,80
51,4.16,3,"Montessori","$35,001-$70,000",1,2,77
52,3.7,3,"Montessori","105,001 or more",3,2,113
53,3.82,3,"Montessori","$35,001-$70,000",1,1,98
54,3.96,3,"Montessori","$35,001-$70,000",4,0,91
55,5.07,3,"Montessori","105,001 or more",3,2,96
56,3.89,3,"Montessori","105,001 or more",4,1,104
57,3.43,3,"Montessori","$35,001-$70,000",3,2,73
58,3.8,3,"Montessori","$35,000 or less",2,2,88
59,5.09,3,"Montessori","$75,001-105,000",5,1,104
60,3.74,3,"Montessori","$75,001-105,000",3,1,101
61,4.62,4,"Montessori","$35,001-$70,000",2,1,124
62,5.26,4,"Montessori","105,001 or more",1,2,112
63,6.36,4,"Montessori","$35,001-$70,000",3,1,127
64,5.37,4,"Montessori","$75,001-105,000",2,1,100
65,4.56,4,"Montessori","$75,001-105,000",3,1,106
66,4.25,4,"Montessori","105,001 or more",4,3,111
67,4.6,4,"Montessori","$35,001-$70,000",4,1,100
68,4.56,4,"Montessori","$35,000 or less",5,1,119
69,3.86,4,"Montessori","105,001 or more",3,1,74
70,5.43,4,"Montessori","105,001 or more",3,0,105
71,4.44,4,"Montessori","$75,001-105,000",3,0,80
72,4.15,4,"Montessori","$75,001-105,000",2,2,103
73,5,4,"Montessori","$35,001-$70,000",4,2,78
74,6.38,4,"Montessori","$35,000 or less",3,2,99
75,5.32,4,"Montessori","$75,001-105,000",3,2,102
76,5.19,4,"Montessori","$75,001-105,000",1,0,116
77,6,4,"Montessori","$35,001-$70,000",4,2,112
78,5.71,4,"Montessori","$35,001-$70,000",4,1,100
79,5.92,4,"Montessori","$75,001-105,000",3,1,111
80,3.32,4,"Montessori","$35,001-$70,000",4,1,98
81,4.61,5,"Montessori","$35,001-$70,000",3,1,85
82,5.1,5,"Montessori","$35,001-$70,000",5,0,77
83,6.22,5,"Montessori","$35,000 or less",3,3,116
84,6.44,5,"Montessori","$35,001-$70,000",2,3,105
85,3.13,5,"Montessori","$75,001-105,000",3,1,117
86,5.02,5,"Montessori","$75,001-105,000",4,2,86
87,5.57,5,"Montessori","$75,001-105,000",3,0,113
88,3.87,5,"Montessori","105,001 or more",4,2,118
89,4.05,5,"Montessori","$35,000 or less",2,1,122
90,5.57,5,"Montessori","$35,001-$70,000",4,1,114
91,6.17,5,"Montessori","$35,000 or less",2,2,81
92,3.73,5,"Montessori","$75,001-105,000",2,2,77
93,4.25,5,"Montessori","$35,001-$70,000",3,2,111
94,4.57,5,"Montessori","$75,001-105,000",3,2,79
95,6.17,5,"Montessori","$35,001-$70,000",4,2,97
96,4.36,5,"Montessori","$35,000 or less",1,3,105
97,4.81,5,"Montessori","$75,001-105,000",4,3,84
98,3.44,5,"Montessori","$75,001-105,000",3,3,93
99,3.11,5,"Montessori","$75,001-105,000",2,1,101
100,5.7,5,"Montessori","$75,001-105,000",4,2,108
101,4.15,6,"non-Montessori","105,001 or more",1,2,71
102,4.36,6,"non-Montessori","$75,001-105,000",4,2,61
103,3.14,6,"non-Montessori","105,001 or more",5,1,92
104,4.26,6,"non-Montessori","$75,001-105,000",4,1,123
105,5,6,"non-Montessori","$35,001-$70,000",1,2,99
106,5.4,6,"non-Montessori","105,001 or more",2,1,90
107,6.4,6,"non-Montessori","$35,001-$70,000",3,2,105
108,5.46,6,"non-Montessori","$75,001-105,000",2,0,118
109,3.04,6,"non-Montessori","$75,001-105,000",3,1,99
110,4.87,6,"non-Montessori","105,001 or more",2,1,109
111,5.93,6,"non-Montessori","$35,001-$70,000",1,2,94
112,5.82,6,"non-Montessori","105,001 or more",3,1,80
113,3.28,6,"non-Montessori","$35,001-$70,000",3,3,103
114,3.84,6,"non-Montessori","$35,001-$70,000",3,1,94
115,6.38,6,"non-Montessori","$35,001-$70,000",1,0,77
116,3.13,6,"non-Montessori","$75,001-105,000",3,2,101
117,6.21,6,"non-Montessori","$75,001-105,000",4,0,91
118,5.54,6,"non-Montessori","$75,001-105,000",4,1,95
119,3.7,6,"non-Montessori","$75,001-105,000",3,2,109
120,5.94,6,"non-Montessori","$75,001-105,000",1,0,100
121,4.39,6,"non-Montessori","$35,001-$70,000",3,2,111
122,4.37,6,"non-Montessori","$75,001-105,000",5,2,101
123,4.65,6,"non-Montessori","$75,001-105,000",2,3,95
124,5.04,6,"non-Montessori","105,001 or more",2,1,90
125,4.23,6,"non-Montessori","$35,001-$70,000",3,3,106
126,3.1,7,"non-Montessori","105,001 or more",2,0,99
127,6.48,7,"non-Montessori","$75,001-105,000",5,1,92
128,6.35,7,"non-Montessori","$75,001-105,000",1,1,88
129,4.93,7,"non-Montessori","$75,001-105,000",3,0,97
130,3.36,7,"non-Montessori","105,001 or more",2,0,101
131,3.83,7,"non-Montessori","$35,001-$70,000",4,2,79
132,6.01,7,"non-Montessori","$35,001-$70,000",4,2,118
133,5.58,7,"non-Montessori","$35,001-$70,000",4,3,90
134,4.74,7,"non-Montessori","$75,001-105,000",3,2,110
135,5.03,7,"non-Montessori","$35,001-$70,000",3,0,109
136,3.06,7,"non-Montessori","$35,001-$70,000",4,2,83
137,4.65,7,"non-Montessori","$75,001-105,000",4,2,109
138,3.15,7,"non-Montessori","$35,001-$70,000",1,0,84
139,4.62,7,"non-Montessori","$75,001-105,000",2,2,94
140,5.2,7,"non-Montessori","$75,001-105,000",2,2,103
141,5.36,7,"non-Montessori","$75,001-105,000",2,2,95
142,3.3,7,"non-Montessori","$35,001-$70,000",4,2,97
143,3.5,7,"non-Montessori","$75,001-105,000",4,1,83
144,6.18,7,"non-Montessori","$35,001-$70,000",3,0,96
145,3.43,7,"non-Montessori","$35,001-$70,000",2,3,108
146,5.55,7,"non-Montessori","$35,001-$70,000",1,2,95
147,6.33,7,"non-Montessori","$75,001-105,000",4,0,116
148,3.15,7,"non-Montessori","105,001 or more",4,1,118
149,3.07,7,"non-Montessori","$35,001-$70,000",4,1,104
150,3.7,7,"non-Montessori","$75,001-105,000",1,2,93
151,4.77,8,"non-Montessori","$35,000 or less",1,3,88
152,6.24,8,"non-Montessori","$35,001-$70,000",4,0,100
153,3.48,8,"non-Montessori","$75,001-105,000",4,1,85
154,3.59,8,"non-Montessori","$35,000 or less",1,1,97
155,5.12,8,"non-Montessori","$35,001-$70,000",5,1,93
156,5.86,8,"non-Montessori","$35,001-$70,000",3,2,122
157,5.95,8,"non-Montessori","105,001 or more",3,2,104
158,5.76,8,"non-Montessori","$35,001-$70,000",2,1,114
159,3.07,8,"non-Montessori","105,001 or more",4,2,77
160,5.44,8,"non-Montessori","$35,000 or less",5,3,109
161,5.85,8,"non-Montessori","$35,000 or less",4,2,72
162,4.99,8,"non-Montessori","$35,001-$70,000",4,2,113
163,4.68,8,"non-Montessori","$75,001-105,000",1,1,82
164,3.56,8,"non-Montessori","$35,000 or less",4,3,125
165,3.31,8,"non-Montessori","$75,001-105,000",4,1,106
166,3.57,8,"non-Montessori","$75,001-105,000",2,0,101
167,3.09,8,"non-Montessori","$35,001-$70,000",3,2,77
168,5.48,8,"non-Montessori","$35,001-$70,000",3,3,69
169,5.66,8,"non-Montessori","$75,001-105,000",2,1,98
170,6,8,"non-Montessori","105,001 or more",3,2,113
171,4.53,8,"non-Montessori","$75,001-105,000",2,1,72
172,4.46,8,"non-Montessori","$75,001-105,000",1,1,114
173,5.05,8,"non-Montessori","$35,001-$70,000",5,3,103
174,5.89,8,"non-Montessori","$35,001-$70,000",3,3,87
175,5.78,8,"non-Montessori","$35,001-$70,000",3,1,86
176,4.14,9,"non-Montessori","$35,001-$70,000",2,2,117
177,6.35,9,"non-Montessori","$35,000 or less",3,1,103
178,5.29,9,"non-Montessori","$35,001-$70,000",4,1,85
179,4.61,9,"non-Montessori","$35,001-$70,000",1,2,116
180,5.12,9,"non-Montessori","$75,001-105,000",4,2,82
181,4.01,9,"non-Montessori","$35,001-$70,000",4,2,111
182,5.51,9,"non-Montessori","$35,001-$70,000",3,2,86
183,6.23,9,"non-Montessori","$35,001-$70,000",3,1,107
184,5.36,9,"non-Montessori","$35,001-$70,000",3,1,99
185,3.65,9,"non-Montessori","$75,001-105,000",4,1,109
186,4.22,9,"non-Montessori","$75,001-105,000",2,2,87
187,3.43,9,"non-Montessori","$35,001-$70,000",3,2,108
188,3.38,9,"non-Montessori","$75,001-105,000",1,3,102
189,4.04,9,"non-Montessori","105,001 or more",3,1,112
190,5.93,9,"non-Montessori","$75,001-105,000",2,1,113
191,6.47,9,"non-Montessori","$35,001-$70,000",2,1,136
192,4.53,9,"non-Montessori","$35,001-$70,000",2,1,103
193,3.71,9,"non-Montessori","105,001 or more",4,2,103
194,6.37,9,"non-Montessori","$35,001-$70,000",4,0,92
195,5.31,9,"non-Montessori","$75,001-105,000",2,1,106
196,4.04,9,"non-Montessori","$75,001-105,000",4,2,97
197,3.42,9,"non-Montessori","$35,000 or less",2,1,90
198,5.1,9,"non-Montessori","$35,001-$70,000",4,3,121
199,3.42,9,"non-Montessori","$75,001-105,000",4,1,96
200,5.76,9,"non-Montessori","$35,001-$70,000",2,2,110
